INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../mnist_nn_tb.cpp in release mode
   Compiling ../../../func.cpp in release mode
   Compiling ../../../init.cpp in release mode
   Compiling ../../../mnist_nn.cpp in release mode
   Generating csim.exe
Initializing...
Initialize Finished!
----------Epoch1----------
  0 result:7, answer:7
  1 result:2, answer:2
  2 result:1, answer:1
  3 result:0, answer:0
  4 result:4, answer:4
  5 result:1, answer:1
  6 result:4, answer:4
  7 result:9, answer:9
  8 result:5, answer:5
  9 result:9, answer:9
 10 result:0, answer:0
 11 result:6, answer:6
 12 result:9, answer:9
 13 result:0, answer:0
 14 result:1, answer:1
 15 result:5, answer:5
 16 result:9, answer:9
 17 result:7, answer:7
 18 result:2, answer:3
 19 result:4, answer:4
 20 result:9, answer:9
 21 result:6, answer:6
 22 result:6, answer:6
 23 result:5, answer:5
 24 result:4, answer:4
 25 result:0, answer:0
 26 result:7, answer:7
 27 result:4, answer:4
 28 result:0, answer:0
 29 result:1, answer:1
 30 result:3, answer:3
 31 result:1, answer:1
 32 result:3, answer:3
 33 result:4, answer:4
 34 result:7, answer:7
 35 result:2, answer:2
 36 result:7, answer:7
 37 result:1, answer:1
 38 result:2, answer:2
 39 result:1, answer:1
 40 result:1, answer:1
 41 result:7, answer:7
 42 result:4, answer:4
 43 result:2, answer:2
 44 result:3, answer:3
 45 result:5, answer:5
 46 result:1, answer:1
 47 result:2, answer:2
 48 result:4, answer:4
 49 result:4, answer:4
 50 result:6, answer:6
 51 result:3, answer:3
 52 result:5, answer:5
 53 result:5, answer:5
 54 result:6, answer:6
 55 result:0, answer:0
 56 result:4, answer:4
 57 result:1, answer:1
 58 result:9, answer:9
 59 result:5, answer:5
 60 result:7, answer:7
 61 result:8, answer:8
 62 result:8, answer:9
 63 result:2, answer:3
 64 result:7, answer:7
 65 result:4, answer:4
 66 result:4, answer:6
 67 result:4, answer:4
 68 result:3, answer:3
 69 result:0, answer:0
 70 result:7, answer:7
