INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../source/simple_convnet_tb.cpp in release mode
   Compiling ../../../source/func.cpp in release mode
   Compiling ../../../source/init.cpp in release mode
   Compiling ../../../source/simple_convnet.cpp in release mode
   Generating csim.exe
Initializing...
Initialize Finished!
----------Epoch1----------
0: -30.733603
1: -16.528378
2: -7.261115
3: 4.178621
4: -9.654117
5: -16.159095
6: -38.488430
7: 24.204709
8: -18.665038
9: 7.263375
  0 result:7, answer:7
0: 2.020216
1: 4.474987
2: 48.147297
3: -38.029473
4: -11.716957
5: -53.935039
6: -14.321015
7: -12.998924
8: -34.928168
9: -42.744227
  1 result:2, answer:2
0: -13.229154
1: 12.582649
2: -10.032731
3: -6.800775
4: -1.530778
5: -5.196271
6: -8.862538
7: -0.238429
8: -3.520901
9: -2.454247
  2 result:1, answer:1
0: 23.458296
1: -11.693503
2: -1.704998
3: -11.538509
4: -8.177732
5: -12.857925
6: -0.317982
7: -21.087966
8: -7.132997
9: -10.254305
  3 result:0, answer:0
0: -7.481027
1: -16.558891
2: -3.344491
3: -15.610839
4: 18.731967
5: -9.451005
6: -14.811049
7: 0.559989
8: -26.694591
9: 3.051593
  4 result:4, answer:4
0: -15.875221
1: 19.005006
2: -14.144181
3: -9.019545
4: -3.588752
5: -6.305603
6: -10.622882
7: -0.643508
8: -7.131048
9: -4.672471
  5 result:1, answer:1
0: -35.172428
1: -11.269487
2: -11.379019
3: -25.512543
4: 14.047287
5: 1.659997
6: -16.684494
7: -13.645609
8: 8.882187
9: 5.786954
  6 result:4, answer:4
0: -31.258732
1: -28.722414
2: -6.514439
3: -5.812341
4: -8.354077
5: -4.557256
6: -41.055970
7: -8.730068
8: -0.919419
9: 16.677951
  7 result:9, answer:9
0: 3.500838
1: -13.957250
2: -21.311947
3: -14.354408
4: -29.868639
5: 30.153095
6: -11.079053
7: -21.920632
8: 0.180573
9: -6.826099
  8 result:5, answer:5
0: -36.222186
1: -20.868894
2: -13.938372
3: -7.177956
4: 1.314662
5: -2.262823
6: -43.457861
7: 6.201035
8: -8.395244
9: 17.020264
  9 result:9, answer:9
0: 33.589584
1: -22.794044
2: 4.902509
3: -19.069821
4: -16.888688
5: -21.165322
6: -1.181739
7: -24.162863
8: 1.419982
9: -8.566065
 10 result:0, answer:0
0: 11.577539
1: -24.383682
2: -16.288865
3: -12.577407
4: -6.753918
5: -8.880967
6: 30.324590
7: -28.872528
8: 0.839724
9: -23.736077
 11 result:6, answer:6
0: -27.360318
1: -12.427192
2: -20.174545
3: -6.663675
4: 2.164216
5: 4.906979
6: -22.128975
7: -2.807614
8: -2.012343
9: 13.066733
 12 result:9, answer:9
0: 30.434673
1: -18.986488
2: 4.523398
3: -17.587730
4: -7.714414
5: -20.188093
6: -1.006143
7: -19.111265
8: -2.376837
9: -5.712041
 13 result:0, answer:0
0: -9.696667
1: 18.239608
2: -14.135591
3: -11.189872
4: -7.660005
5: 4.101627
6: -11.252547
7: -2.867892
8: -3.999654
9: -1.525215
 14 result:1, answer:1
0: -2.175896
1: -2.628395
2: -12.732850
3: -1.800529
4: -37.857650
5: 28.248446
6: -6.648053
7: -8.004511
8: -6.966106
9: -20.227327
 15 result:5, answer:5
0: -15.432051
1: -30.368769
2: -16.972378
3: -4.745789
4: -4.365290
5: -0.786290
6: -31.286452
7: -2.119318
8: -5.333436
9: 20.733581
 16 result:9, answer:9
0: -26.722622
1: -26.756199
2: -10.398428
3: -5.862022
4: -14.938211
5: -16.261152
6: -51.134430
7: 30.958298
8: -24.819674
9: 9.500773
 17 result:7, answer:7
0: -11.056988
1: -9.773316
2: 2.401231
3: 5.830873
4: -9.265127
5: -3.876998
6: -1.996108
7: -2.319228
8: 14.461625
9: -9.973361
 18 result:8, answer:3
0: -28.642471
1: -7.168414
2: -2.628147
3: -17.892162
4: 18.782636
5: -2.195660
6: -9.577207
7: -2.959102
8: -16.737740
9: 0.212371
 19 result:4, answer:4
0: -27.575392
1: -22.516660
2: -12.726667
3: -5.173055
4: 2.723433
5: 1.022438
6: -32.264599
7: -3.247180
8: -12.195435
9: 17.673673
 20 result:9, answer:9
0: -0.458865
1: -19.919030
2: -8.033937
3: -12.090847
4: -13.525297
5: 3.475220
6: 17.460120
7: -24.309381
8: 0.256785
9: -11.757282
 21 result:6, answer:6
0: 4.295084
1: -3.788291
2: -14.900802
3: -21.575647
4: 0.348745
5: -3.411229
6: 37.773886
7: -10.550937
8: -7.751114
9: -22.176342
 22 result:6, answer:6
0: -23.051030
1: -15.410091
2: -23.218901
3: -0.331177
4: -35.511313
5: 36.210527
6: -15.645208
7: -24.878686
8: -8.141346
9: -12.407849
 23 result:5, answer:5
0: -19.520541
1: -4.995802
2: -4.566044
3: -16.267795
4: 14.437063
5: -0.095785
6: -11.982030
7: -4.850520
8: -21.517769
9: -0.244652
 24 result:4, answer:4
0: 36.813147
1: -22.326603
2: 10.508643
3: -17.068666
4: -14.095018
5: -24.982994
6: -0.456512
7: -41.063485
8: -5.552536
9: -11.970229
 25 result:0, answer:0
0: -10.589462
1: -16.022500
2: -13.771082
3: -9.387971
4: -2.428226
5: -7.934362
6: -37.368399
7: 21.009061
8: -17.817610
9: 6.028743
 26 result:7, answer:7
0: -31.349751
1: -8.047104
2: -7.281096
3: -23.097981
4: 27.491478
5: -4.974120
6: -15.435862
7: -0.107714
8: -31.435218
9: 0.083769
 27 result:4, answer:4
0: 26.671699
1: -7.629383
2: 12.526563
3: -18.106765
4: -7.815846
5: -19.054750
6: -0.830464
7: -22.421978
8: 1.264894
9: -4.922834
 28 result:0, answer:0
0: -16.674553
1: 23.899506
2: -11.694927
3: -12.028162
4: -6.709249
5: -10.600501
6: -21.581112
7: 5.820663
8: -5.292030
9: -3.467886
 29 result:1, answer:1
0: -41.588432
1: -3.346375
2: -11.831218
3: 21.632035
4: -3.863810
5: -4.558804
6: -35.965584
7: 5.200059
8: -18.082430
9: 1.833695
 30 result:3, answer:3
0: -17.197217
1: 18.010153
2: -13.474613
3: -16.157156
4: -4.840983
5: 0.427441
6: -17.857706
7: 7.361591
8: -4.700888
9: 1.329948
 31 result:1, answer:1
0: -32.438658
1: 2.552102
2: -3.222574
3: 19.669286
4: -3.805676
5: -2.343388
6: -14.795037
7: 1.976686
8: -7.101081
9: -4.230915
 32 result:3, answer:3
0: -0.057985
1: -7.789327
2: 10.117257
3: -28.935086
4: 23.161805
5: -19.757481
6: -17.483757
7: -18.370110
8: -32.890481
9: -6.738293
 33 result:4, answer:4
0: -28.240151
1: -0.464255
2: 4.029698
3: 1.247042
4: -5.850234
5: -33.648407
6: -27.936512
7: 22.306333
8: -11.380395
9: 0.441293
 34 result:7, answer:7
0: 7.153350
1: 6.676890
2: 36.815336
3: -22.933990
4: -12.553849
5: -37.264286
6: -25.046348
7: 4.640647
8: -27.546691
9: -16.486126
 35 result:2, answer:2
0: -17.707370
1: -2.608822
2: 1.253954
3: -5.434293
4: -7.501655
5: -22.715146
6: -14.231284
7: 19.854697
8: -9.577876
9: 1.940976
 36 result:7, answer:7
0: -14.712947
1: 20.838453
2: -11.913469
3: -15.597299
4: -5.912789
5: -3.320241
6: -13.335133
7: 3.464841
8: -4.606719
9: -2.780892
 37 result:1, answer:1
0: 1.330932
1: 11.547171
2: 24.661626
3: -18.255221
4: -11.162825
5: -29.675488
6: -14.141503
7: 7.043915
8: -14.341526
9: -22.195801
 38 result:2, answer:2
0: -8.347497
1: 18.972501
2: -15.338284
3: -13.712728
4: -7.124774
5: -3.945535
6: -1.197157
7: -4.068553
8: -6.736132
9: -11.994031
 39 result:1, answer:1
0: -13.760243
1: 15.888685
2: -9.575313
3: -11.184312
4: -3.837661
5: -4.757197
6: -15.717238
7: 1.914920
8: -1.245122
9: -1.774414
 40 result:1, answer:1
0: -20.263005
1: 2.286979
2: 4.105885
3: 1.434537
